dataset,profile,method,method_label,mean,std,min,max,count
hatespeech,cosine,ours_downstream_direct,Teacher-direct,50.0,0.0,50,50,3
hatespeech,cosine,ours_influence_only,Teacher-no-loss,47.666666666666664,2.516611478423584,45,50,3
hatespeech,cosine,ours_kernel_ridge_student,Ours-online-KRR,42.666666666666664,4.041451884327381,39,47,3
hatespeech,cosine,ours_krr_influence_only,Ours-online-KRR-no-loss,34.666666666666664,9.073771725877467,25,43,3
hatespeech,cosine,ours_krr_loss_reduction_only,Ours-online-KRR-no-influence,42.666666666666664,4.725815626252608,39,48,3
hatespeech,cosine,ours_loss_reduction_only,Teacher-no-influence,49.666666666666664,0.5773502691896263,49,50,3
hatespeech,cosine,ours_sample_package_direct,Teacher-pkg-direct,49.0,1.0,48,50,3
hatespeech,cosine,ours_sample_package_influence_only,Teacher-pkg-no-loss,50.0,0.0,50,50,3
hatespeech,cosine,ours_sample_package_krr,Ours-online-pkg-KRR,47.0,3.0,44,50,3
hatespeech,cosine,ours_sample_package_krr_influence_only,Ours-online-pkg-KRR-no-loss,46.333333333333336,2.0816659994661335,44,48,3
hatespeech,cosine,ours_sample_package_krr_loss_reduction_only,Ours-online-pkg-KRR-no-influence,46.0,1.7320508075688772,44,47,3
hatespeech,cosine,ours_sample_package_loss_reduction_only,Teacher-pkg-no-influence,43.333333333333336,6.6583281184793925,36,49,3
hatespeech,cosine,ours_sample_package_task_operator,Ours-online-pkg-task,27.333333333333332,10.016652800877813,16,35,3
hatespeech,cosine,ours_task_operator,Ours-online-task,9.0,4.0,5,13,3
hatespeech,kmeans_center,ours_downstream_direct,Teacher-direct,50.0,0.0,50,50,3
hatespeech,kmeans_center,ours_influence_only,Teacher-no-loss,9.666666666666666,4.618802153517007,7,15,3
hatespeech,kmeans_center,ours_kernel_ridge_student,Ours-online-KRR,25.0,7.810249675906654,20,34,3
hatespeech,kmeans_center,ours_krr_influence_only,Ours-online-KRR-no-loss,11.0,1.0,10,12,3
hatespeech,kmeans_center,ours_krr_loss_reduction_only,Ours-online-KRR-no-influence,27.0,6.082762530298219,23,34,3
hatespeech,kmeans_center,ours_loss_reduction_only,Teacher-no-influence,50.0,0.0,50,50,3
hatespeech,kmeans_center,ours_sample_package_direct,Teacher-pkg-direct,49.0,1.7320508075688772,47,50,3
