run_seed,dataset,profile,market_size,good_count,good_ratio,decoy_type_good_ratio,static_target_top_good_count,static_target_top_good_ratio,static_target_top_downstream_gain_mean,downstream_gain_mean_good,downstream_gain_mean_bad,anchor_test_auroc,anchor_test_macro_f1,anchor_test_acc
44,hateful_memes,cosine,5000,500,0.1,1.0,0,0.0,-0.2934778034687042,3.064713716506958,-0.7147368788719177,0.4995413306451612,0.3697478991596639,0.5866666666666667
44,hateful_memes,all_average,5000,500,0.1,1.0,0,0.0,-1.3400945663452148,3.0166244506835938,-1.6389797925949097,0.4995413306451612,0.3697478991596639,0.5866666666666667
44,hatespeech,noise,5000,500,0.1,1.0,0,0.0,-1.1485024690628052,3.2671103477478027,-1.1576926708221436,0.5578234799999999,0.3333333333333333,0.5
44,hatespeech,coreset_far_wrong,5000,500,0.1,1.0,0,0.0,-1.86658239364624,3.2671103477478027,-0.6408644914627075,0.5578234799999999,0.3333333333333333,0.5
44,hatespeech,typiclust_dense,5000,500,0.1,0.994,0,0.0,1.3250263929367063,3.271244764328003,-0.0227245558053255,0.5578234799999999,0.3333333333333333,0.5
44,hatespeech,kmeans_center,5000,500,0.1,0.994,5,0.1,1.1143805980682373,3.2700178623199463,-0.0725276991724968,0.5578234799999999,0.3333333333333333,0.5
44,hatespeech,uncertainty_badge,5000,500,0.1,1.0,0,0.0,-1.0437103509902954,3.2669341564178467,-0.0143175078555941,0.5578234799999999,0.3333333333333333,0.5
44,hatespeech,cosine,5000,500,0.1,1.0,0,0.0,-0.5408658385276794,3.2896878719329834,-0.7276204228401184,0.5578234799999999,0.3333333333333333,0.5
44,hatespeech,all_average,5000,500,0.1,1.0,0,0.0,-0.5801328420639038,3.237567186355591,-1.6137266159057615,0.5578234799999999,0.3333333333333333,0.5
44,mscoco,noise,5000,500,0.1,0.552,0,0.0,0.2168596684932708,3.4178407192230225,-0.3341064155101776,0.6010899062499999,0.3333333333333333,0.5
44,mscoco,coreset_far_wrong,5000,500,0.1,0.552,0,0.0,-0.8198252320289612,3.4178407192230225,-0.373291015625,0.6010899062499999,0.3333333333333333,0.5
44,mscoco,typiclust_dense,5000,500,0.1,0.546,0,0.0,-0.469120979309082,3.3114731311798096,-0.648842453956604,0.6010899062499999,0.3333333333333333,0.5
44,mscoco,kmeans_center,5000,500,0.1,0.526,0,0.0,-0.6363164782524109,3.252525329589844,-0.6298099756240845,0.6010899062499999,0.3333333333333333,0.5
44,mscoco,uncertainty_badge,5000,500,0.1,0.552,2,0.04,-1.1279698610305786,3.4178407192230225,-0.2206302732229232,0.6010899062499999,0.3333333333333333,0.5
44,mscoco,cosine,5000,500,0.1,0.766,50,1.0,4.2632341384887695,3.2861196994781494,-0.4374900758266449,0.6010899062499999,0.3333333333333333,0.5
44,mscoco,all_average,5000,500,0.1,0.748,3,0.06,0.0913013666868209,3.2153470516204834,-1.0842411518096924,0.6010899062499999,0.3333333333333333,0.5
