dataset,profile,method,seed,selected_rows,good_count,good_ratio,downstream_gain_mean,harm_score_mean,loss_reduction_mean,influence_gain_mean,collapse_to_single_digits,scoring_semantics,online_scoring_uses_downstream_model,sample_packaging_enabled,package_size,scored_objects,student_calibration_size,student_landmark_count,student_sigma2,student_supervision,eval_time,test_auroc,test_macro_f1,test_acc,type_coreset_far_wrong_decoy,type_kmeans_center_decoy,type_noise_decoy,type_uncertainty_badge_decoy,ckks_simd_enabled,ckks_scheme,primary_metric,primary_metric_value,type_typiclust_dense_decoy,ckks_reference_rows,ckks_reference_dim,ckks_reference_package_size,ckks_rows_per_second_mean,ckks_est_encrypted_compute_ms,ckks_scaled_from_reference_ms,ckks_ref_encrypted_compute_ms_mean,ckks_ref_rows_per_second_mean,ckks_ref_scored_objects_per_second_mean,ckks_ref_output_ciphertext_bytes_mean,ckks_ref_ct_pt_mults_mean,ckks_ref_rotations_mean,ckks_ref_additions_mean,ckks_ref_rescales_mean,ckks_ref_scored_objects,ckks_ref_raw_rows_per_scored_object,type_cosine_decoy,type_useful_clean,run_seed,run_dir,purchase_ratio,purchase_total,ratio_market_size
hatespeech,coreset_far_wrong,ours_sample_package_krr,142,25,25,1.0,3.5014121532440186,-3.5014121532440186,0.0002730798732955,0.0802582949399948,0,online_student,0,1,4,1250,28000,1000,1.0360314846038818,top_quantile,0.1824326000000837,0.5466837600000001,0.3333333333333333,0.5,,12.0,,1.0,1,ours_student_pkg_ctpt,good_count,25.0,12.0,10000.0,64.0,4.0,1786105.677236,2.799386432575201,2.80927,5.61854,1786105.677236,446526.419309,235320.0,10.0,0.0,10.0,10.0,2500.0,4.0,,,42,paper\main_text_experiments\runs\ratio_downstream_5k\ratio_0p005_seed_42,0.005,25,5000
hatespeech,typiclust_dense,market_random_select,142,25,2,0.08,-0.0734773799777031,0.0734773799777031,1.95264806279738e-06,0.0237563960254192,1,baseline_feature,0,0,1,5000,28000,1000,1.0360314846038818,top_quantile,0.3319077999999535,0.55988858,0.3333333333333333,0.5,,2.0,,1.0,0,,good_count,2.0,16.0,,,,,,,,,,,,,,,,,6.0,,42,paper\main_text_experiments\runs\ratio_downstream_5k\ratio_0p005_seed_42,0.005,25,5000
hatespeech,typiclust_dense,market_cosine_select,142,25,0,0.0,-1.25183367729187,1.25183367729187,-1.4233589354262222e-05,-0.0356774032115936,1,baseline_feature,0,0,1,5000,28000,1000,1.0360314846038818,top_quantile,0.158532599999944,0.53810694,0.3333333333333333,0.5,,,,,0,,good_count,0.0,,,,,,,,,,,,,,,,,,25.0,,42,paper\main_text_experiments\runs\ratio_downstream_5k\ratio_0p005_seed_42,0.005,25,5000
hatespeech,typiclust_dense,market_coreset_select,142,25,25,1.0,3.408984422683716,-3.408984422683716,0.0005093503277748,-0.0568652525544166,0,baseline_feature,0,0,1,5000,28000,1000,1.0360314846038818,top_quantile,0.2622474000004331,0.55724354,0.3333333333333333,0.5,,,25.0,,0,,good_count,25.0,,,,,,,,,,,,,,,,,,,,42,paper\main_text_experiments\runs\ratio_downstream_5k\ratio_0p005_seed_42,0.005,25,5000
hatespeech,typiclust_dense,market_badge_select,142,25,25,1.0,3.4635181427001958,-3.4635181427001958,0.0005122971488162,-0.0553402565419673,0,baseline_model_based,1,0,1,5000,28000,1000,1.0360314846038818,top_quantile,0.2223668999999972,0.56053508,0.3333333333333333,0.5,,,25.0,,0,,good_count,25.0,,,,,,,,,,,,,,,,,,,,42,paper\main_text_experiments\runs\ratio_downstream_5k\ratio_0p005_seed_42,0.005,25,5000
hatespeech,typiclust_dense,market_kmeans_center_select,142,25,5,0.2,1.4771794080734253,-1.4771794080734253,0.0001094913459382,0.0538782887160778,1,baseline_feature,0,0,1,5000,28000,1000,1.0360314846038818,top_quantile,0.2261125999998512,0.56973578,0.3333333333333333,0.5,,4.0,,,0,,good_count,5.0,21.0,,,,,,,,,,,,,,,,,,,42,paper\main_text_experiments\runs\ratio_downstream_5k\ratio_0p005_seed_42,0.005,25,5000
hatespeech,typiclust_dense,market_typiclust_select,142,25,0,0.0,0.9076370000839232,-0.9076370000839232,4.532337243290385e-06,0.079318419098854,1,baseline_feature,0,0,1,5000,28000,1000,1.0360314846038818,top_quantile,0.1605428000002575,0.51030516,0.3333333333333333,0.5,,12.0,,,0,,good_count,0.0,13.0,,,,,,,,,,,,,,,,,,,42,paper\main_text_experiments\runs\ratio_downstream_5k\ratio_0p005_seed_42,0.005,25,5000
hatespeech,typiclust_dense,ours_kernel_ridge_student,142,25,19,0.76,3.2380292415618896,-3.2380292415618896,0.0002464532735757,0.0798043608665466,0,online_student,0,0,1,5000,28000,1000,1.0360314846038818,top_quantile,0.2247854999995979,0.5664286,0.3333333333333333,0.5,,9.0,,1.0,1,ours_student_row_ctpt,good_count,19.0,15.0,10000.0,64.0,4.0,92931.597765,53.80301340178943,53.80903000000001,107.61806,92931.597765,92931.597765,705941.0,192.0,0.0,192.0,192.0,10000.0,1.0,,,42,paper\main_text_experiments\runs\ratio_downstream_5k\ratio_0p005_seed_42,0.005,25,5000
hatespeech,typiclust_dense,ours_sample_package_krr,142,25,19,0.76,3.2380292415618896,-3.2380292415618896,0.0002464532735757,0.0798043608665466,0,online_student,0,1,4,1250,28000,1000,1.0360314846038818,top_quantile,0.2178815999996004,0.5569027200000001,0.3333333333333333,0.5,,9.0,,1.0,1,ours_student_pkg_ctpt,good_count,19.0,15.0,10000.0,64.0,4.0,1786105.677236,2.799386432575201,2.80927,5.61854,1786105.677236,446526.419309,235320.0,10.0,0.0,10.0,10.0,2500.0,4.0,,,42,paper\main_text_experiments\runs\ratio_downstream_5k\ratio_0p005_seed_42,0.005,25,5000
hatespeech,kmeans_center,market_random_select,142,25,2,0.08,0.2263839542865753,-0.2263839542865753,4.175186040811241e-05,0.0189840625971555,1,baseline_feature,0,0,1,5000,28000,1000,1.0360314846038818,top_quantile,0.225998399999753,0.5592651999999999,0.3333333333333333,0.5,6.0,16.0,,2.0,0,,good_count,2.0,1.0,,,,,,,,,,,,,,,,,,,42,paper\main_text_experiments\runs\ratio_downstream_5k\ratio_0p005_seed_42,0.005,25,5000
